model,mode,rad,defense,trial,seed,acc,crashed,k,n_bits,n_exponent_hits,n_sign_hits,T_days,r,p,train_hours,epochs,allowed_bits,single_hit,n_train,n_test,seconds,clean_acc,last_finite_acc,ensemble_skipped,note
mnist_linear,infer,stress,none,0,202613591000,14.37,0,2047.0,3252224,529,67,1.0,1e-06,0.02,,2,,0,60000,10000,0.04826869998942129,96.66,14.37,0,
mnist_linear,infer,stress,none,1,202613591001,15.63,0,2088.0,3252224,529,66,1.0,1e-06,0.02,,2,,0,60000,10000,0.05181939998874441,96.66,15.63,0,
mnist_linear,infer,stress,none,2,202613591002,10.0,1,2031.0,3252224,513,52,1.0,1e-06,0.02,,2,,0,60000,10000,0.03918890000204556,96.66,10.0,0,
mnist_linear,infer,stress,none,3,202613591003,9.74,0,2016.0,3252224,476,75,1.0,1e-06,0.02,,2,,0,60000,10000,0.050763700011884794,96.66,9.74,0,
mnist_linear,infer,stress,none,4,202613591004,16.5,0,2010.0,3252224,522,70,1.0,1e-06,0.02,,2,,0,60000,10000,0.05935140000656247,96.66,16.5,0,
mnist_linear,infer,stress,none,5,202613591005,13.53,0,2043.0,3252224,519,63,1.0,1e-06,0.02,,2,,0,60000,10000,0.051547400013078004,96.66,13.53,0,
mnist_linear,infer,stress,none,6,202613591006,10.0,1,1985.0,3252224,500,66,1.0,1e-06,0.02,,2,,0,60000,10000,0.04424680001102388,96.66,10.0,0,
mnist_linear,infer,stress,none,7,202613591007,15.25,0,2061.0,3252224,506,63,1.0,1e-06,0.02,,2,,0,60000,10000,0.047337899974081665,96.66,15.25,0,
mnist_linear,infer,stress,none,8,202613591008,10.53,0,2047.0,3252224,506,70,1.0,1e-06,0.02,,2,,0,60000,10000,0.059823299990966916,96.66,10.53,0,
mnist_linear,infer,stress,none,9,202613591009,11.63,0,1985.0,3252224,456,57,1.0,1e-06,0.02,,2,,0,60000,10000,0.052597500005504116,96.66,11.63,0,
