model,mode,rad,defense,trial,seed,acc,crashed,k,n_bits,n_exponent_hits,n_sign_hits,T_days,r,p,train_hours,epochs,allowed_bits,single_hit,n_train,n_test,seconds,clean_acc,last_finite_acc,ensemble_skipped,note
mnist_linear,infer,stress,clip,0,202664700000,96.71,0,35.0,3252224,9,2,1.0,1e-06,0.0003,,2,,0,60000,10000,0.025114400021266192,96.66,96.71,0,
mnist_linear,infer,stress,clip,1,202664700001,96.43,0,32.0,3252224,9,1,1.0,1e-06,0.0003,,2,,0,60000,10000,0.02508799999486655,96.66,96.43,0,
mnist_linear,infer,stress,clip,2,202664700002,96.62,0,40.0,3252224,10,3,1.0,1e-06,0.0003,,2,,0,60000,10000,0.024081400013528764,96.66,96.62,0,
mnist_linear,infer,stress,clip,3,202664700003,96.69,0,27.0,3252224,9,2,1.0,1e-06,0.0003,,2,,0,60000,10000,0.02559750000364147,96.66,96.69,0,
mnist_linear,infer,stress,clip,4,202664700004,96.64,0,25.0,3252224,6,0,1.0,1e-06,0.0003,,2,,0,60000,10000,0.022581999975955114,96.66,96.64,0,
mnist_linear,infer,stress,clip,5,202664700005,96.64,0,30.0,3252224,7,3,1.0,1e-06,0.0003,,2,,0,60000,10000,0.025413099996512756,96.66,96.64,0,
mnist_linear,infer,stress,clip,6,202664700006,96.66,0,30.0,3252224,6,0,1.0,1e-06,0.0003,,2,,0,60000,10000,0.026195799990091473,96.66,96.66,0,
mnist_linear,infer,stress,clip,7,202664700007,96.65,0,26.0,3252224,4,0,1.0,1e-06,0.0003,,2,,0,60000,10000,0.029595599975436926,96.66,96.65,0,
mnist_linear,infer,stress,clip,8,202664700008,96.64,0,29.0,3252224,7,0,1.0,1e-06,0.0003,,2,,0,60000,10000,0.02900839998619631,96.66,96.64,0,
mnist_linear,infer,stress,clip,9,202664700009,96.68,0,29.0,3252224,5,3,1.0,1e-06,0.0003,,2,,0,60000,10000,0.027882700000191107,96.66,96.68,0,
