model,mode,rad,defense,trial,seed,acc,crashed,k,n_bits,n_exponent_hits,n_sign_hits,T_days,r,p,train_hours,epochs,allowed_bits,single_hit,n_train,n_test,seconds,clean_acc,last_finite_acc,ensemble_skipped,note
mnist_linear,infer,stress,none,0,202613591000,10.0,1,10150.0,3252224,2548,334,1.0,1e-06,0.1,,2,,0,60000,10000,0.16218269997625612,96.66,10.0,0,
mnist_linear,infer,stress,none,1,202613591001,10.0,1,10325.0,3252224,2627,312,1.0,1e-06,0.1,,2,,0,60000,10000,0.17027349999989383,96.66,10.0,0,
mnist_linear,infer,stress,none,2,202613591002,10.0,1,10166.0,3252224,2566,310,1.0,1e-06,0.1,,2,,0,60000,10000,0.19093359998078085,96.66,10.0,0,
mnist_linear,infer,stress,none,3,202613591003,10.0,1,10185.0,3252224,2528,324,1.0,1e-06,0.1,,2,,0,60000,10000,0.18004539998946711,96.66,10.0,0,
mnist_linear,infer,stress,none,4,202613591004,10.0,1,10036.0,3252224,2575,321,1.0,1e-06,0.1,,2,,0,60000,10000,0.15702490002149716,96.66,10.0,0,
mnist_linear,infer,stress,none,5,202613591005,10.0,1,10297.0,3252224,2582,308,1.0,1e-06,0.1,,2,,0,60000,10000,0.18095519999042153,96.66,10.0,0,
mnist_linear,infer,stress,none,6,202613591006,10.0,1,10188.0,3252224,2574,320,1.0,1e-06,0.1,,2,,0,60000,10000,0.15969369999947958,96.66,10.0,0,
mnist_linear,infer,stress,none,7,202613591007,10.0,1,10114.0,3252224,2573,313,1.0,1e-06,0.1,,2,,0,60000,10000,0.1817453999829013,96.66,10.0,0,
mnist_linear,infer,stress,none,8,202613591008,14.76,0,10243.0,3252224,2563,338,1.0,1e-06,0.1,,2,,0,60000,10000,0.17755480000050738,96.66,14.76,0,
mnist_linear,infer,stress,none,9,202613591009,10.0,1,10080.0,3252224,2497,314,1.0,1e-06,0.1,,2,,0,60000,10000,0.15963510001893155,96.66,10.0,0,
