model,mode,rad,defense,trial,seed,acc,crashed,k,n_bits,n_exponent_hits,n_sign_hits,T_days,r,p,train_hours,epochs,allowed_bits,single_hit,n_train,n_test,seconds,clean_acc,last_finite_acc,ensemble_skipped,note
mnist_linear,infer,stress,clip,0,202664700000,78.09,0,5093.0,3252224,1272,165,1.0,1e-06,0.05,,2,,0,60000,10000,0.11029480001889169,96.66,78.09,0,
mnist_linear,infer,stress,clip,1,202664700001,87.18,0,4989.0,3252224,1294,144,1.0,1e-06,0.05,,2,,0,60000,10000,0.09866869999677874,96.66,87.18,0,
mnist_linear,infer,stress,clip,2,202664700002,86.32,0,5088.0,3252224,1284,158,1.0,1e-06,0.05,,2,,0,60000,10000,0.10088800001540221,96.66,86.32,0,
mnist_linear,infer,stress,clip,3,202664700003,77.49,0,5079.0,3252224,1219,157,1.0,1e-06,0.05,,2,,0,60000,10000,0.1010068999894429,96.66,77.49,0,
mnist_linear,infer,stress,clip,4,202664700004,81.16,0,5014.0,3252224,1270,153,1.0,1e-06,0.05,,2,,0,60000,10000,0.25776749997748993,96.66,81.16,0,
mnist_linear,infer,stress,clip,5,202664700005,90.84,0,5133.0,3252224,1285,178,1.0,1e-06,0.05,,2,,0,60000,10000,0.10746480000670999,96.66,90.84,0,
mnist_linear,infer,stress,clip,6,202664700006,87.27,0,5052.0,3252224,1239,162,1.0,1e-06,0.05,,2,,0,60000,10000,0.10510240000439808,96.66,87.27,0,
mnist_linear,infer,stress,clip,7,202664700007,88.81,0,5055.0,3252224,1314,134,1.0,1e-06,0.05,,2,,0,60000,10000,0.09891130001051351,96.66,88.81,0,
mnist_linear,infer,stress,clip,8,202664700008,87.76,0,5016.0,3252224,1248,154,1.0,1e-06,0.05,,2,,0,60000,10000,0.10085160000016913,96.66,87.76,0,
mnist_linear,infer,stress,clip,9,202664700009,91.62,0,5241.0,3252224,1269,167,1.0,1e-06,0.05,,2,,0,60000,10000,0.10294000001158565,96.66,91.62,0,
