model,mode,rad,defense,trial,seed,acc,crashed,k,n_bits,n_exponent_hits,n_sign_hits,T_days,r,p,train_hours,epochs,allowed_bits,single_hit,n_train,n_test,seconds,clean_acc,last_finite_acc,ensemble_skipped,note
mnist_linear,infer,stress,clip,0,202664700000,96.4,0,476.0,3252224,130,13,1.0,1e-06,0.005,,2,,0,60000,10000,0.02977270001429133,96.66,96.4,0,
mnist_linear,infer,stress,clip,1,202664700001,95.79,0,494.0,3252224,137,14,1.0,1e-06,0.005,,2,,0,60000,10000,0.03142359998309985,96.66,95.79,0,
mnist_linear,infer,stress,clip,2,202664700002,95.85,0,519.0,3252224,124,17,1.0,1e-06,0.005,,2,,0,60000,10000,0.033212200010893866,96.66,95.85,0,
mnist_linear,infer,stress,clip,3,202664700003,95.94,0,497.0,3252224,102,15,1.0,1e-06,0.005,,2,,0,60000,10000,0.032366200000979006,96.66,95.94,0,
mnist_linear,infer,stress,clip,4,202664700004,96.2,0,497.0,3252224,133,13,1.0,1e-06,0.005,,2,,0,60000,10000,0.02952410001307726,96.66,96.2,0,
mnist_linear,infer,stress,clip,5,202664700005,96.56,0,520.0,3252224,136,16,1.0,1e-06,0.005,,2,,0,60000,10000,0.031800400000065565,96.66,96.56,0,
mnist_linear,infer,stress,clip,6,202664700006,96.43,0,503.0,3252224,120,16,1.0,1e-06,0.005,,2,,0,60000,10000,0.03499859999283217,96.66,96.43,0,
mnist_linear,infer,stress,clip,7,202664700007,95.87,0,490.0,3252224,117,13,1.0,1e-06,0.005,,2,,0,60000,10000,0.03380000000470318,96.66,95.87,0,
mnist_linear,infer,stress,clip,8,202664700008,95.9,0,493.0,3252224,124,7,1.0,1e-06,0.005,,2,,0,60000,10000,0.030564299988327548,96.66,95.9,0,
mnist_linear,infer,stress,clip,9,202664700009,96.28,0,498.0,3252224,107,18,1.0,1e-06,0.005,,2,,0,60000,10000,0.02860239997971803,96.66,96.28,0,
