model,mode,rad,defense,trial,seed,acc,crashed,k,n_bits,n_exponent_hits,n_sign_hits,T_days,r,p,train_hours,epochs,allowed_bits,single_hit,n_train,n_test,seconds,clean_acc,last_finite_acc,ensemble_skipped,note
mnist_linear,infer,stress,none,0,202613591000,10.38,0,3127.0,3252224,812,99,1.0,1e-06,0.03,,2,,0,60000,10000,0.07338830002117902,96.66,10.38,0,
mnist_linear,infer,stress,none,1,202613591001,12.8,0,3112.0,3252224,782,93,1.0,1e-06,0.03,,2,,0,60000,10000,0.07611289998749271,96.66,12.8,0,
mnist_linear,infer,stress,none,2,202613591002,18.69,0,3027.0,3252224,753,81,1.0,1e-06,0.03,,2,,0,60000,10000,0.13257449999218807,96.66,18.69,0,
mnist_linear,infer,stress,none,3,202613591003,18.11,0,3077.0,3252224,743,110,1.0,1e-06,0.03,,2,,0,60000,10000,0.09015740000177175,96.66,18.11,0,
mnist_linear,infer,stress,none,4,202613591004,10.0,1,3015.0,3252224,779,103,1.0,1e-06,0.03,,2,,0,60000,10000,0.06771180001669563,96.66,10.0,0,
mnist_linear,infer,stress,none,5,202613591005,8.02,0,3111.0,3252224,771,99,1.0,1e-06,0.03,,2,,0,60000,10000,0.07457009999779984,96.66,8.02,0,
mnist_linear,infer,stress,none,6,202613591006,10.0,1,3010.0,3252224,771,98,1.0,1e-06,0.03,,2,,0,60000,10000,0.060149400000227615,96.66,10.0,0,
mnist_linear,infer,stress,none,7,202613591007,25.49,0,3067.0,3252224,769,88,1.0,1e-06,0.03,,2,,0,60000,10000,0.07025940000312403,96.66,25.49,0,
mnist_linear,infer,stress,none,8,202613591008,14.68,0,3079.0,3252224,759,98,1.0,1e-06,0.03,,2,,0,60000,10000,0.06651180001790635,96.66,14.68,0,
mnist_linear,infer,stress,none,9,202613591009,15.48,0,2974.0,3252224,712,82,1.0,1e-06,0.03,,2,,0,60000,10000,0.06961719997343607,96.66,15.48,0,
