model,mode,rad,defense,trial,seed,acc,crashed,k,n_bits,n_exponent_hits,n_sign_hits,T_days,r,p,train_hours,epochs,allowed_bits,single_hit,n_train,n_test,seconds,clean_acc,last_finite_acc,ensemble_skipped,note
mnist_linear,infer,stress,none,0,202613591000,96.66,0,1.0,3252224,1,0,1.0,1e-06,1e-05,,2,,0,60000,10000,0.022693000006256625,96.66,96.66,0,
mnist_linear,infer,stress,none,1,202613591001,96.66,0,3.0,3252224,1,0,1.0,1e-06,1e-05,,2,,0,60000,10000,0.0213985999871511,96.66,96.66,0,
mnist_linear,infer,stress,none,2,202613591002,96.66,0,1.0,3252224,0,0,1.0,1e-06,1e-05,,2,,0,60000,10000,0.023958500009030104,96.66,96.66,0,
mnist_linear,infer,stress,none,3,202613591003,96.66,0,2.0,3252224,0,0,1.0,1e-06,1e-05,,2,,0,60000,10000,0.020886500016786158,96.66,96.66,0,
mnist_linear,infer,stress,none,4,202613591004,96.66,0,0.0,3252224,0,0,1.0,1e-06,1e-05,,2,,0,60000,10000,0.022807500005001202,96.66,96.66,0,
mnist_linear,infer,stress,none,5,202613591005,96.66,0,3.0,3252224,2,0,1.0,1e-06,1e-05,,2,,0,60000,10000,0.02376929999445565,96.66,96.66,0,
mnist_linear,infer,stress,none,6,202613591006,96.66,0,0.0,3252224,0,0,1.0,1e-06,1e-05,,2,,0,60000,10000,0.022490000003017485,96.66,96.66,0,
mnist_linear,infer,stress,none,7,202613591007,96.66,0,0.0,3252224,0,0,1.0,1e-06,1e-05,,2,,0,60000,10000,0.021408700005849823,96.66,96.66,0,
mnist_linear,infer,stress,none,8,202613591008,96.66,0,0.0,3252224,0,0,1.0,1e-06,1e-05,,2,,0,60000,10000,0.02268190000904724,96.66,96.66,0,
mnist_linear,infer,stress,none,9,202613591009,96.66,0,0.0,3252224,0,0,1.0,1e-06,1e-05,,2,,0,60000,10000,0.021629399998346344,96.66,96.66,0,
