model,mode,rad,defense,trial,seed,acc,crashed,k,n_bits,n_exponent_hits,n_sign_hits,T_days,r,p,train_hours,epochs,allowed_bits,single_hit,n_train,n_test,seconds,clean_acc,last_finite_acc,ensemble_skipped,note
mnist_linear,infer,stress,clip,0,202664700000,91.02,0,3045.0,3252224,766,101,1.0,1e-06,0.03,,2,,0,60000,10000,0.07296950000454672,96.66,91.02,0,
mnist_linear,infer,stress,clip,1,202664700001,92.63,0,3022.0,3252224,806,86,1.0,1e-06,0.03,,2,,0,60000,10000,0.06816269998671487,96.66,92.63,0,
mnist_linear,infer,stress,clip,2,202664700002,91.89,0,3098.0,3252224,789,100,1.0,1e-06,0.03,,2,,0,60000,10000,0.07071800000267103,96.66,91.89,0,
mnist_linear,infer,stress,clip,3,202664700003,93.5,0,3063.0,3252224,720,96,1.0,1e-06,0.03,,2,,0,60000,10000,0.06796179999946617,96.66,93.5,0,
mnist_linear,infer,stress,clip,4,202664700004,86.37,0,2993.0,3252224,767,85,1.0,1e-06,0.03,,2,,0,60000,10000,0.07529750000685453,96.66,86.37,0,
mnist_linear,infer,stress,clip,5,202664700005,93.86,0,3092.0,3252224,769,114,1.0,1e-06,0.03,,2,,0,60000,10000,0.08237739998730831,96.66,93.86,0,
mnist_linear,infer,stress,clip,6,202664700006,87.24,0,3028.0,3252224,744,97,1.0,1e-06,0.03,,2,,0,60000,10000,0.06733479999820702,96.66,87.24,0,
mnist_linear,infer,stress,clip,7,202664700007,92.42,0,3076.0,3252224,779,77,1.0,1e-06,0.03,,2,,0,60000,10000,0.07061239998438396,96.66,92.42,0,
mnist_linear,infer,stress,clip,8,202664700008,94.14,0,3048.0,3252224,771,95,1.0,1e-06,0.03,,2,,0,60000,10000,0.06704529997659847,96.66,94.14,0,
mnist_linear,infer,stress,clip,9,202664700009,94.21,0,3110.0,3252224,754,100,1.0,1e-06,0.03,,2,,0,60000,10000,0.07040610001422465,96.66,94.21,0,
