model,mode,rad,defense,trial,seed,acc,crashed,k,n_bits,n_exponent_hits,n_sign_hits,T_days,r,p,train_hours,epochs,allowed_bits,single_hit,n_train,n_test,seconds,clean_acc,last_finite_acc,ensemble_skipped,note
mnist_linear,infer,stress,clip,0,202664700000,96.15,0,936.0,3252224,261,30,1.0,1e-06,0.01,,2,,0,60000,10000,0.03532269998686388,96.66,96.15,0,
mnist_linear,infer,stress,clip,1,202664700001,95.94,0,991.0,3252224,268,30,1.0,1e-06,0.01,,2,,0,60000,10000,0.03632119999383576,96.66,95.94,0,
mnist_linear,infer,stress,clip,2,202664700002,89.31,0,1040.0,3252224,271,30,1.0,1e-06,0.01,,2,,0,60000,10000,0.03765799998654984,96.66,89.31,0,
mnist_linear,infer,stress,clip,3,202664700003,95.91,0,1058.0,3252224,235,28,1.0,1e-06,0.01,,2,,0,60000,10000,0.05436259999987669,96.66,95.91,0,
mnist_linear,infer,stress,clip,4,202664700004,95.17,0,981.0,3252224,252,23,1.0,1e-06,0.01,,2,,0,60000,10000,0.08060499999555759,96.66,95.17,0,
mnist_linear,infer,stress,clip,5,202664700005,93.79,0,1067.0,3252224,281,35,1.0,1e-06,0.01,,2,,0,60000,10000,0.0648454999900423,96.66,93.79,0,
mnist_linear,infer,stress,clip,6,202664700006,95.46,0,1045.0,3252224,240,30,1.0,1e-06,0.01,,2,,0,60000,10000,0.05066189999342896,96.66,95.46,0,
mnist_linear,infer,stress,clip,7,202664700007,95.81,0,1026.0,3252224,253,25,1.0,1e-06,0.01,,2,,0,60000,10000,0.05486329999985173,96.66,95.81,0,
mnist_linear,infer,stress,clip,8,202664700008,95.56,0,1011.0,3252224,269,30,1.0,1e-06,0.01,,2,,0,60000,10000,0.048102600005222484,96.66,95.56,0,
mnist_linear,infer,stress,clip,9,202664700009,82.98,0,1008.0,3252224,231,35,1.0,1e-06,0.01,,2,,0,60000,10000,0.039626100013265386,96.66,82.98,0,
