model,mode,rad,defense,trial,seed,acc,crashed,k,n_bits,n_exponent_hits,n_sign_hits,T_days,r,p,train_hours,epochs,allowed_bits,single_hit,n_train,n_test,seconds,clean_acc,last_finite_acc,ensemble_skipped,note
mnist_linear,infer,stress,none,0,202613591000,10.2,0,1011.0,3252224,286,33,1.0,1e-06,0.01,,2,,0,60000,10000,0.04180599999381229,96.66,10.2,0,
mnist_linear,infer,stress,none,1,202613591001,19.78,0,1029.0,3252224,248,35,1.0,1e-06,0.01,,2,,0,60000,10000,0.03921689998242073,96.66,19.78,0,
mnist_linear,infer,stress,none,2,202613591002,10.0,1,990.0,3252224,256,26,1.0,1e-06,0.01,,2,,0,60000,10000,0.02560340001946315,96.66,10.0,0,
mnist_linear,infer,stress,none,3,202613591003,26.53,0,993.0,3252224,238,32,1.0,1e-06,0.01,,2,,0,60000,10000,0.03819530000328086,96.66,26.53,0,
mnist_linear,infer,stress,none,4,202613591004,13.43,0,1008.0,3252224,260,36,1.0,1e-06,0.01,,2,,0,60000,10000,0.037074899999424815,96.66,13.43,0,
mnist_linear,infer,stress,none,5,202613591005,11.65,0,1063.0,3252224,280,32,1.0,1e-06,0.01,,2,,0,60000,10000,0.03811160000623204,96.66,11.65,0,
mnist_linear,infer,stress,none,6,202613591006,17.55,0,1011.0,3252224,243,33,1.0,1e-06,0.01,,2,,0,60000,10000,0.038433499983511865,96.66,17.55,0,
mnist_linear,infer,stress,none,7,202613591007,17.36,0,1056.0,3252224,262,38,1.0,1e-06,0.01,,2,,0,60000,10000,0.04159360000630841,96.66,17.36,0,
mnist_linear,infer,stress,none,8,202613591008,10.0,1,1040.0,3252224,240,38,1.0,1e-06,0.01,,2,,0,60000,10000,0.027382500004023314,96.66,10.0,0,
mnist_linear,infer,stress,none,9,202613591009,26.37,0,991.0,3252224,229,30,1.0,1e-06,0.01,,2,,0,60000,10000,0.03380390000529587,96.66,26.37,0,
