model,mode,rad,defense,trial,seed,acc,crashed,k,n_bits,n_exponent_hits,n_sign_hits,T_days,r,p,train_hours,epochs,allowed_bits,single_hit,n_train,n_test,seconds,clean_acc,last_finite_acc,ensemble_skipped,note
mnist_linear,infer,stress,none,0,202613591000,15.52,0,305.0,3252224,81,11,1.0,1e-06,0.003,,2,,0,60000,10000,0.028292200004216284,96.66,15.52,0,
mnist_linear,infer,stress,none,1,202613591001,55.37,0,315.0,3252224,76,11,1.0,1e-06,0.003,,2,,0,60000,10000,0.027739199984353036,96.66,55.37,0,
mnist_linear,infer,stress,none,2,202613591002,67.28,0,312.0,3252224,72,6,1.0,1e-06,0.003,,2,,0,60000,10000,0.02731770000536926,96.66,67.28,0,
mnist_linear,infer,stress,none,3,202613591003,68.99,0,309.0,3252224,82,14,1.0,1e-06,0.003,,2,,0,60000,10000,0.02523599998676218,96.66,68.99,0,
mnist_linear,infer,stress,none,4,202613591004,36.79,0,290.0,3252224,68,10,1.0,1e-06,0.003,,2,,0,60000,10000,0.02673390001291409,96.66,36.79,0,
mnist_linear,infer,stress,none,5,202613591005,45.06,0,318.0,3252224,82,9,1.0,1e-06,0.003,,2,,0,60000,10000,0.024926099984440953,96.66,45.06,0,
mnist_linear,infer,stress,none,6,202613591006,22.39,0,324.0,3252224,83,8,1.0,1e-06,0.003,,2,,0,60000,10000,0.027094499993836507,96.66,22.39,0,
mnist_linear,infer,stress,none,7,202613591007,30.47,0,308.0,3252224,76,15,1.0,1e-06,0.003,,2,,0,60000,10000,0.02693989998078905,96.66,30.47,0,
mnist_linear,infer,stress,none,8,202613591008,27.06,0,301.0,3252224,68,12,1.0,1e-06,0.003,,2,,0,60000,10000,0.025698000012198463,96.66,27.06,0,
mnist_linear,infer,stress,none,9,202613591009,66.93,0,296.0,3252224,58,9,1.0,1e-06,0.003,,2,,0,60000,10000,0.025988199980929494,96.66,66.93,0,
