model,mode,rad,defense,trial,seed,acc,crashed,k,n_bits,n_exponent_hits,n_sign_hits,T_days,r,p,train_hours,epochs,allowed_bits,single_hit,n_train,n_test,seconds,clean_acc,last_finite_acc,ensemble_skipped,note
mnist_linear,infer,stress,none,0,202613591000,26.77,0,32.0,3252224,11,0,1.0,1e-06,0.0003,,2,,0,60000,10000,0.02248479999252595,96.66,26.77,0,
mnist_linear,infer,stress,none,1,202613591001,96.62,0,43.0,3252224,9,2,1.0,1e-06,0.0003,,2,,0,60000,10000,0.019057600002270192,96.66,96.62,0,
mnist_linear,infer,stress,none,2,202613591002,90.23,0,26.0,3252224,3,0,1.0,1e-06,0.0003,,2,,0,60000,10000,0.07619669998530298,96.66,90.23,0,
mnist_linear,infer,stress,none,3,202613591003,96.65,0,29.0,3252224,6,0,1.0,1e-06,0.0003,,2,,0,60000,10000,0.0358546000206843,96.66,96.65,0,
mnist_linear,infer,stress,none,4,202613591004,85.88,0,27.0,3252224,6,1,1.0,1e-06,0.0003,,2,,0,60000,10000,0.02293690000078641,96.66,85.88,0,
mnist_linear,infer,stress,none,5,202613591005,96.61,0,31.0,3252224,9,1,1.0,1e-06,0.0003,,2,,0,60000,10000,0.02326870002434589,96.66,96.61,0,
mnist_linear,infer,stress,none,6,202613591006,96.55,0,29.0,3252224,8,1,1.0,1e-06,0.0003,,2,,0,60000,10000,0.02350409998325631,96.66,96.55,0,
mnist_linear,infer,stress,none,7,202613591007,70.66,0,35.0,3252224,13,3,1.0,1e-06,0.0003,,2,,0,60000,10000,0.024390700011281297,96.66,70.66,0,
mnist_linear,infer,stress,none,8,202613591008,96.62,0,26.0,3252224,7,0,1.0,1e-06,0.0003,,2,,0,60000,10000,0.0351035000057891,96.66,96.62,0,
mnist_linear,infer,stress,none,9,202613591009,44.64,0,35.0,3252224,9,1,1.0,1e-06,0.0003,,2,,0,60000,10000,0.025786799989873543,96.66,44.64,0,
