model,mode,rad,defense,trial,seed,acc,crashed,k,n_bits,n_exponent_hits,n_sign_hits,T_days,r,p,train_hours,epochs,allowed_bits,single_hit,n_train,n_test,seconds,clean_acc,last_finite_acc,ensemble_skipped,note
mnist_linear,infer,stress,clip,0,202664700000,96.26,0,291.0,3252224,80,5,1.0,1e-06,0.003,,2,,0,60000,10000,0.026272799994330853,96.66,96.26,0,
mnist_linear,infer,stress,clip,1,202664700001,96.42,0,301.0,3252224,87,6,1.0,1e-06,0.003,,2,,0,60000,10000,0.024097999994410202,96.66,96.42,0,
mnist_linear,infer,stress,clip,2,202664700002,95.18,0,306.0,3252224,75,12,1.0,1e-06,0.003,,2,,0,60000,10000,0.025232199986930937,96.66,95.18,0,
mnist_linear,infer,stress,clip,3,202664700003,96.59,0,306.0,3252224,60,10,1.0,1e-06,0.003,,2,,0,60000,10000,0.027041399996960536,96.66,96.59,0,
mnist_linear,infer,stress,clip,4,202664700004,96.11,0,286.0,3252224,84,6,1.0,1e-06,0.003,,2,,0,60000,10000,0.027125799999339506,96.66,96.11,0,
mnist_linear,infer,stress,clip,5,202664700005,96.38,0,298.0,3252224,81,11,1.0,1e-06,0.003,,2,,0,60000,10000,0.024164200003724545,96.66,96.38,0,
mnist_linear,infer,stress,clip,6,202664700006,96.33,0,307.0,3252224,71,10,1.0,1e-06,0.003,,2,,0,60000,10000,0.03221599999233149,96.66,96.33,0,
mnist_linear,infer,stress,clip,7,202664700007,96.59,0,291.0,3252224,66,9,1.0,1e-06,0.003,,2,,0,60000,10000,0.032780000008642673,96.66,96.59,0,
mnist_linear,infer,stress,clip,8,202664700008,96.59,0,307.0,3252224,80,5,1.0,1e-06,0.003,,2,,0,60000,10000,0.04095739999320358,96.66,96.59,0,
mnist_linear,infer,stress,clip,9,202664700009,96.6,0,295.0,3252224,58,15,1.0,1e-06,0.003,,2,,0,60000,10000,0.025422499980777502,96.66,96.6,0,
