model,mode,rad,defense,trial,seed,acc,crashed,k,n_bits,n_exponent_hits,n_sign_hits,T_days,r,p,train_hours,epochs,allowed_bits,single_hit,n_train,n_test,seconds,clean_acc,last_finite_acc,ensemble_skipped,note
mnist_linear,infer,stress,clip,0,202664700000,95.58,0,207.0,3252224,60,5,1.0,1e-06,0.002,,2,,0,60000,10000,0.03433000002405606,96.66,95.58,0,
mnist_linear,infer,stress,clip,1,202664700001,91.86,0,188.0,3252224,56,6,1.0,1e-06,0.002,,2,,0,60000,10000,0.04372079999302514,96.66,91.86,0,
mnist_linear,infer,stress,clip,2,202664700002,96.48,0,212.0,3252224,52,9,1.0,1e-06,0.002,,2,,0,60000,10000,0.03121440001996234,96.66,96.48,0,
mnist_linear,infer,stress,clip,3,202664700003,96.54,0,187.0,3252224,40,8,1.0,1e-06,0.002,,2,,0,60000,10000,0.025922800006810576,96.66,96.54,0,
mnist_linear,infer,stress,clip,4,202664700004,96.68,0,189.0,3252224,58,3,1.0,1e-06,0.002,,2,,0,60000,10000,0.09282309998525307,96.66,96.68,0,
mnist_linear,infer,stress,clip,5,202664700005,96.5,0,201.0,3252224,57,9,1.0,1e-06,0.002,,2,,0,60000,10000,0.028204700007336214,96.66,96.5,0,
mnist_linear,infer,stress,clip,6,202664700006,96.63,0,204.0,3252224,47,6,1.0,1e-06,0.002,,2,,0,60000,10000,0.022323999990476295,96.66,96.63,0,
mnist_linear,infer,stress,clip,7,202664700007,96.67,0,187.0,3252224,42,4,1.0,1e-06,0.002,,2,,0,60000,10000,0.024576199997682124,96.66,96.67,0,
mnist_linear,infer,stress,clip,8,202664700008,95.92,0,204.0,3252224,52,4,1.0,1e-06,0.002,,2,,0,60000,10000,0.02333990001352504,96.66,95.92,0,
mnist_linear,infer,stress,clip,9,202664700009,96.38,0,200.0,3252224,36,9,1.0,1e-06,0.002,,2,,0,60000,10000,0.02450870000757277,96.66,96.38,0,
