model,mode,rad,defense,trial,seed,acc,crashed,k,n_bits,n_exponent_hits,n_sign_hits,T_days,r,p,train_hours,epochs,allowed_bits,single_hit,n_train,n_test,seconds,clean_acc,last_finite_acc,ensemble_skipped,note
mnist_linear,infer,stress,clip,0,202664700000,96.66,0,0.0,3252224,0,0,1.0,1e-06,1e-05,,2,,0,60000,10000,0.02612189998035319,96.66,96.66,0,
mnist_linear,infer,stress,clip,1,202664700001,96.66,0,0.0,3252224,0,0,1.0,1e-06,1e-05,,2,,0,60000,10000,0.022418499982450157,96.66,96.66,0,
mnist_linear,infer,stress,clip,2,202664700002,96.66,0,0.0,3252224,0,0,1.0,1e-06,1e-05,,2,,0,60000,10000,0.023728400003165007,96.66,96.66,0,
mnist_linear,infer,stress,clip,3,202664700003,96.66,0,0.0,3252224,0,0,1.0,1e-06,1e-05,,2,,0,60000,10000,0.020409800024935976,96.66,96.66,0,
mnist_linear,infer,stress,clip,4,202664700004,96.66,0,0.0,3252224,0,0,1.0,1e-06,1e-05,,2,,0,60000,10000,0.020864299993263558,96.66,96.66,0,
mnist_linear,infer,stress,clip,5,202664700005,96.66,0,0.0,3252224,0,0,1.0,1e-06,1e-05,,2,,0,60000,10000,0.021909300005063415,96.66,96.66,0,
mnist_linear,infer,stress,clip,6,202664700006,96.66,0,0.0,3252224,0,0,1.0,1e-06,1e-05,,2,,0,60000,10000,0.01831089999177493,96.66,96.66,0,
mnist_linear,infer,stress,clip,7,202664700007,96.66,0,0.0,3252224,0,0,1.0,1e-06,1e-05,,2,,0,60000,10000,0.020353800005977973,96.66,96.66,0,
mnist_linear,infer,stress,clip,8,202664700008,96.66,0,2.0,3252224,0,0,1.0,1e-06,1e-05,,2,,0,60000,10000,0.02164489999995567,96.66,96.66,0,
mnist_linear,infer,stress,clip,9,202664700009,96.66,0,1.0,3252224,0,0,1.0,1e-06,1e-05,,2,,0,60000,10000,0.022552300011739135,96.66,96.66,0,
