model,mode,rad,defense,trial,seed,acc,crashed,k,n_bits,n_exponent_hits,n_sign_hits,T_days,r,p,train_hours,epochs,allowed_bits,single_hit,n_train,n_test,seconds,clean_acc,last_finite_acc,ensemble_skipped,note
mnist_linear,infer,stress,none,0,202613591000,13.94,0,514.0,3252224,145,16,1.0,1e-06,0.005,,2,,0,60000,10000,0.02911070000845939,96.66,13.94,0,
mnist_linear,infer,stress,none,1,202613591001,10.0,1,527.0,3252224,121,21,1.0,1e-06,0.005,,2,,0,60000,10000,0.019246999989263713,96.66,10.0,0,
mnist_linear,infer,stress,none,2,202613591002,88.86,0,512.0,3252224,126,11,1.0,1e-06,0.005,,2,,0,60000,10000,0.03199079999467358,96.66,88.86,0,
mnist_linear,infer,stress,none,3,202613591003,20.73,0,494.0,3252224,133,16,1.0,1e-06,0.005,,2,,0,60000,10000,0.02976540001691319,96.66,20.73,0,
mnist_linear,infer,stress,none,4,202613591004,27.45,0,490.0,3252224,116,21,1.0,1e-06,0.005,,2,,0,60000,10000,0.02677710002171807,96.66,27.45,0,
mnist_linear,infer,stress,none,5,202613591005,44.3,0,529.0,3252224,134,18,1.0,1e-06,0.005,,2,,0,60000,10000,0.028111399995395914,96.66,44.3,0,
mnist_linear,infer,stress,none,6,202613591006,16.46,0,501.0,3252224,116,12,1.0,1e-06,0.005,,2,,0,60000,10000,0.025980300008086488,96.66,16.46,0,
mnist_linear,infer,stress,none,7,202613591007,15.92,0,542.0,3252224,142,25,1.0,1e-06,0.005,,2,,0,60000,10000,0.03495510001084767,96.66,15.92,0,
mnist_linear,infer,stress,none,8,202613591008,13.85,0,513.0,3252224,116,22,1.0,1e-06,0.005,,2,,0,60000,10000,0.02980389998992905,96.66,13.85,0,
mnist_linear,infer,stress,none,9,202613591009,21.69,0,486.0,3252224,102,15,1.0,1e-06,0.005,,2,,0,60000,10000,0.03212119999807328,96.66,21.69,0,
